title,price,original_price,rating,reviews,stock,asin,link
"Corsair Scimitar RGB Elite Wired MOBA/MMO Gaming Mouse – 18,000 DPI – 17 Programmable Buttons – iCUE Compatible – PC, Mac, PS5, PS4, Xbox – Black",PEN 208.86,PEN 313.31,4.2,(1.1K),In Stock,B0FWR3P1FT,https://www.amazon.com/dp/B0FWR3P1FT
"ATTACK SHARK X3 Wireless Gaming Mouse, 49g Ergonomic Computer Mouse, Triple Modes PAW3395 26K DPI Optical Sensor, 200h Battery Life, Programmable Buttons, Gaming Accessories for PC/Laptop/Mac (White)",PEN 146.19,PEN 146.19,4.5,(1.1K),In Stock,B0CCF6J2Q6,https://www.amazon.com/dp/B0CCF6J2Q6
Razer Orochi V2 Mobile Wireless Gaming Mouse: Ultra Lightweight - 2 Wireless Modes - Up to 950hrs Battery Life - Mechanical Mouse Switches - 5G Advanced 18K DPI Optical Sensor - Classic Black,PEN 121.82,PEN 243.68,4.4,(5.1K),In Stock,B0916N2LPZ,https://www.amazon.com/dp/B0916N2LPZ
Razer Basilisk V3 X HyperSpeed Gaming Mouse - Optical - Wireless - Bluetooth/Radio Frequency - 2.40 GHz - Black - USB - 18000 dpi - 7 Button(s) - 7 Programmable Button(s) - Right-handed - 1 x AA Batte,PEN 170.56,PEN 243.68,4.4,(1.9K),In Stock,B0BXBC26X8,https://www.amazon.com/dp/B0BXBC26X8
Razer Basilisk V3 Pro Wireless Gaming Mouse: HyperScroll Tilt Wheel - 30K DPI Optical Sensor - Gen-3 Optical Switches - 13-Zone Chroma RGB - 13 Programmable Controls - 3 Connection Modes - Black,PEN 309.86,PEN 309.86,4.4,(1.6K),In Stock,B0B6Y3XYFG,https://www.amazon.com/dp/B0B6Y3XYFG
"Redragon M602 Gaming Mouse, Ergonomic RGB Gaming Mouse Wired with 7200 Adjustable DPI, 9 Programmable Buttons, Professional Software for Gamer Office [Black]",PEN 69.60,PEN 73.08,4.6,(27.1K),In Stock,B011HMDZ0Q,https://www.amazon.com/dp/B011HMDZ0Q
"YUNZII M1 Wireless Gaming Mouse, Tri-Mode 2.4G/BT/Wired Gaming Mouse, PAW3311 Sensor 10000 DPI Rechargeable Wireless Mouse with 5 Programmable Buttons, Customizable via Software for Win & Mac (White)",PEN 139.23,PEN 139.23,4.5,(9),In Stock,B0GK994ZP9,https://www.amazon.com/dp/B0GK994ZP9
Razer Naga V2 HyperSpeed Wireless MMO Gaming Mouse: 19 Programmable Buttons - HyperScroll Technology - Focus Pro 30K Optical Sensor - Mechanical Mouse Switches Gen-2 - Up to 400 Hr Battery Life,PEN 226.27,PEN 348.13,4.1,(1.8K),In Stock,B0BGJT87N2,https://www.amazon.com/dp/B0BGJT87N2
"Logitech G PRO X Superlight Wireless Gaming Mouse, Ultra-Lightweight, Hero 25K Sensor, 25,600 DPI, 5 Programmable Buttons, Long Battery Life, Compatible with PC/Mac - Black",PEN 358.60,PEN 522.21,4.5,(11.3K),In Stock,B087LXCTFJ,https://www.amazon.com/dp/B087LXCTFJ
Razer Viper V3 Pro Wireless Esports Gaming Mouse: Symmetrical - 54g Lightweight - 8K Polling - 35K DPI Optical Sensor - Gen3 Optical Switches - 8 Programmable Buttons - 95 Hr Battery - Black,PEN 452.57,PEN 557.02,4.6,(1.9K),In Stock,B0CW25XR5R,https://www.amazon.com/dp/B0CW25XR5R
Razer Viper V3 HyperSpeed Wireless Esports Gaming Mouse: 82g Lightweight - Up to 280 Hr Battery - 30K DPI Optical Sensor - Gen-2 Mechanical Switches - 8 Programmable Controls - Classic Black,PEN 174.05,PEN 243.68,4.5,(1K),In Stock,B0CF4DJM7F,https://www.amazon.com/dp/B0CF4DJM7F
Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,PEN 69.60,PEN 104.41,4.5,(15.4K),In Stock,B094PS5RZQ,https://www.amazon.com/dp/B094PS5RZQ
Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,PEN 132.27,PEN 132.27,4.6,(9.6K),In Stock,B09C13PZX7,https://www.amazon.com/dp/B09C13PZX7
